,word,frequency,rank,ln_frequency,ln_rank
6,的,2261,1,7.72356247227797,0.0
24,我,2179,2,7.68662133494462,0.6931471805599453
61,你,1130,3,7.029972911706386,1.0986122886681098
26,在,579,4,6.361302477572996,1.3862943611198906
52,是,489,5,6.192362489474872,1.6094379124341003
128,都,484,6,6.182084906716632,1.791759469228055
9,了,414,7,6.025865973825314,1.9459101490553132
220,不,358,8,5.8805329864007,2.0794415416798357
11,就,256,9,5.545177444479562,2.1972245773362196
162,这,229,10,5.43372200355424,2.302585092994046
43,着,228,11,5.429345628954441,2.3978952727983707
196,让,220,12,5.393627546352362,2.4849066497880004
10,也,217,13,5.37989735354046,2.5649493574615367
299,说,214,14,5.365976015021851,2.6390573296152584
270,把,196,15,5.278114659230517,2.70805020110221
474,要,191,16,5.25227342804663,2.772588722239781
449,有,183,17,5.209486152841421,2.833213344056216
127,自己,169,18,5.1298987149230735,2.8903717578961645
244,他们,166,19,5.111987788356544,2.9444389791664403
367,他,162,20,5.087596335232384,2.995732273553991
396,我们,156,21,5.049856007249537,3.044522437723423
255,看,155,22,5.043425116919247,3.091042453358316
3,没有,142,23,4.955827057601261,3.1354942159291497
503,还,141,24,4.948759890378168,3.1780538303479458
55,像,137,25,4.919980925828125,3.2188758248682006
267,谁,135,26,4.90527477843843,3.258096538021482
64,给,134,27,4.897839799950911,3.295836866004329
472,到,132,28,4.882801922586371,3.332204510175204
426,想,131,29,4.875197323201151,3.367295829986474
7,人,131,30,4.875197323201151,3.4011973816621555
704,又,129,31,4.859812404361672,3.4339872044851463
71,和,122,32,4.804021044733257,3.4657359027997265
347,被,119,33,4.77912349311153,3.4965075614664802
659,没,118,34,4.770684624465665,3.5263605246161616
5040,差不多,116,35,4.7535901911063645,3.5553480614894135
8,多,109,36,4.6913478822291435,3.58351893845611
5,走,107,37,4.672828834461906,3.6109179126442243
350,知道,106,38,4.663439094112067,3.6375861597263857
131,就是,104,39,4.6443908991413725,3.6635616461296463
56,个,104,40,4.6443908991413725,3.6888794541139363
229,再,103,41,4.634728988229636,3.713572066704308
309,好,101,42,4.61512051684126,3.7376696182833684
407,现在,101,43,4.61512051684126,3.7612001156935624
584,去,101,44,4.61512051684126,3.784189633918261
419,会,99,45,4.59511985013459,3.8066624897703196
653,做,99,46,4.59511985013459,3.828641396489095
0,这个,95,47,4.553876891600541,3.8501476017100584
326,想要,94,48,4.543294782270004,3.871201010907891
769,一个,94,49,4.543294782270004,3.8918202981106265
551,那,92,50,4.5217885770490405,3.912023005428146
356,什么,91,51,4.51085950651685,3.9318256327243257
178,跟,90,52,4.499809670330265,3.9512437185814275
198,来,88,53,4.477336814478207,3.970291913552122
761,当,88,54,4.477336814478207,3.9889840465642745
310,对,86,55,4.454347296253507,4.007333185232471
358,真的,84,56,4.430816798843313,4.02535169073515
514,为了,82,57,4.406719247264253,4.04305126783455
135,不会,80,58,4.382026634673881,4.060443010546419
334,太,79,59,4.3694478524670215,4.07753744390572
702,但,78,60,4.356708826689592,4.0943445622221
470,从,73,61,4.290459441148391,4.110873864173311
197,你们,73,62,4.290459441148391,4.127134385045092
521,过,72,63,4.276666119016055,4.143134726391533
762,兄弟,72,64,4.276666119016055,4.1588830833596715
62,能,72,65,4.276666119016055,4.174387269895637
640,听,71,66,4.2626798770413155,4.189654742026425
152,才,69,67,4.23410650459726,4.204692619390966
35,不是,69,68,4.23410650459726,4.219507705176107
237,所以,68,69,4.219507705176107,4.23410650459726
14,那些,68,70,4.219507705176107,4.248495242049359
431,得,65,71,4.174387269895637,4.2626798770413155
163,音乐,64,72,4.1588830833596715,4.276666119016055
150,一起,63,73,4.143134726391533,4.290459441148391
462,只,62,74,4.127134385045092,4.30406509320417
248,上,61,75,4.110873864173311,4.31748811353631
368,很,60,76,4.0943445622221,4.330733340286331
142,那么,59,77,4.07753744390572,4.343805421853684
120,别,58,78,4.060443010546419,4.356708826689592
79,里,57,79,4.04305126783455,4.3694478524670215
835,怎么,57,80,4.04305126783455,4.382026634673881
331,更,57,81,4.04305126783455,4.394449154672439
581,开始,55,82,4.007333185232471,4.406719247264253
1559,还是,55,83,4.007333185232471,4.418840607796598
29,为,54,84,3.9889840465642745,4.430816798843313
664,可以,54,85,3.9889840465642745,4.442651256490317
189,时间,53,86,3.970291913552122,4.454347296253507
259,如果,53,87,3.970291913552122,4.465908118654584
201,说唱,53,88,3.970291913552122,4.477336814478207
924,继续,53,89,3.970291913552122,4.48863636973214
1590,不用,50,90,3.912023005428146,4.499809670330265
866,觉得,50,91,3.912023005428146,4.51085950651685
230,快,49,92,3.8918202981106265,4.5217885770490405
143,大,48,93,3.871201010907891,4.532599493153256
74,带,48,94,3.871201010907891,4.543294782270004
58,一样,48,95,3.871201010907891,4.553876891600541
34,爱,46,96,3.828641396489095,4.564348191467836
400,最,45,97,3.8066624897703196,4.574710978503383
632,因为,45,98,3.8066624897703196,4.584967478670572
225,不管,44,99,3.784189633918261,4.59511985013459
756,不想,44,100,3.784189633918261,4.605170185988092
256,用,43,101,3.7612001156935624,4.61512051684126
1032,钱,43,102,3.7612001156935624,4.624972813284271
1979,人生,42,103,3.7376696182833684,4.634728988229636
1150,打,42,104,3.7376696182833684,4.6443908991413725
751,比,42,105,3.7376696182833684,4.653960350157523
4035,呦,41,106,3.713572066704308,4.663439094112067
814,它,39,107,3.6635616461296463,4.672828834461906
352,这里,39,108,3.6635616461296463,4.68213122712422
958,她,39,109,3.6635616461296463,4.6913478822291435
517,叫,39,110,3.6635616461296463,4.700480365792417
421,未来,39,111,3.6635616461296463,4.709530201312334
2529,嘿,39,112,3.6635616461296463,4.718498871295094
5583,信命,39,113,3.6635616461296463,4.727387818712341
708,拿,38,114,3.6375861597263857,4.736198448394496
1477,需要,38,115,3.6375861597263857,4.74493212836325
1560,先,38,116,3.6375861597263857,4.7535901911063645
