,word,frequency,rank,ln_frequency,ln_rank
40,the,7440,1,8.914626127827137,0.0
20,i,4033,2,8.302265794873367,0.6931471805599453
30,and,3378,3,8.125039097367745,1.0986122886681098
10,a,2934,4,7.984121958702927,1.3862943611198906
85,to,2803,5,7.938445551164788,1.6094379124341003
33,you,2456,6,7.806289289267033,1.791759469228055
58,it,2242,7,7.715123603632105,1.9459101490553132
69,of,2126,8,7.661997558901893,2.0794415416798357
47,'s,1827,9,7.510430556378006,2.1972245773362196
35,in,1820,10,7.506591780070841,2.302585092994046
39,by,1545,11,7.3427791893318455,2.3978952727983707
27,that,1374,12,7.2254814727822945,2.4849066497880004
70,my,1346,13,7.204892510204673,2.5649493574615367
142,on,1325,14,7.1891677384203225,2.6390573296152584
61,n't,1222,15,7.108244139731541,2.70805020110221
81,is,1061,16,6.966967138613983,2.772588722239781
174,with,1059,17,6.9650803456014065,2.833213344056216
5, ,1054,18,6.960347729101308,2.8903717578961645
18,me,1041,19,6.947937068614969,2.9444389791664403
290,for,1035,20,6.942156705699469,2.995732273553991
21,'m,931,21,6.836259277277067,3.044522437723423
53,up,912,22,6.815639990074331,3.091042453358316
25,like,854,23,6.74993119378857,3.1354942159291497
37,get,824,24,6.714170529909472,3.1780538303479458
540,we,817,25,6.705639094860003,3.2188758248682006
283,do,813,26,6.70073110954781,3.258096538021482
659,your,801,27,6.68586094706836,3.295836866004329
74,all,782,28,6.661854740545311,3.332204510175204
511,got,711,29,6.566672429803241,3.367295829986474
181,this,673,30,6.511745329644728,3.4011973816621555
93,he,670,31,6.507277712385012,3.4339872044851463
286,but,660,32,6.492239835020471,3.4657359027997265
202,they,626,33,6.439350371100098,3.4965075614664802
275,so,611,34,6.415096959171596,3.5263605246161616
315,was,610,35,6.413458957167357,3.5553480614894135
601,his,606,36,6.406879986069314,3.58351893845611
606,be,601,37,6.398594934535208,3.6109179126442243
1903,feat,553,38,6.315358001522335,3.6375861597263857
327,what,551,39,6.311734809152915,3.6635616461296463
425,one,523,40,6.259581464064923,3.6888794541139363
186,from,500,41,6.214608098422191,3.713572066704308
103,when,495,42,6.20455776256869,3.7376696182833684
471,out,493,43,6.20050917404269,3.7612001156935624
276,know,474,44,6.161207321695077,3.784189633918261
92,if,462,45,6.135564891081739,3.8066624897703196
1885,’s,458,46,6.126869184114185,3.828641396489095
63,no,456,47,6.1224928095143865,3.8501476017100584
228,can,417,48,6.0330862217988015,3.871201010907891
98,just,407,49,6.008813185442595,3.8918202981106265
50,now,404,50,6.0014148779611505,3.912023005428146
14,as,395,51,5.978885764901122,3.9318256327243257
161,or,390,52,5.966146739123692,3.9512437185814275
6,verse,369,53,5.910796644040527,3.970291913552122
9,down,362,54,5.8916442118257715,3.9889840465642745
158,man,357,55,5.877735781779639,4.007333185232471
245,at,355,56,5.872117789475416,4.02535169073515
591,ai,338,57,5.823045895483019,4.04305126783455
196,back,324,58,5.780743515792329,4.060443010546419
532,her,313,59,5.746203190540153,4.07753744390572
19,shit,304,60,5.717027701406222,4.0943445622221
533,she,295,61,5.68697535633982,4.110873864173311
87,see,293,62,5.680172609017068,4.127134385045092
413,who,293,63,5.680172609017068,4.143134726391533
304,yeah,293,64,5.680172609017068,4.1588830833596715
164,how,291,65,5.673323267171493,4.174387269895637
122,come,288,66,5.662960480135946,4.189654742026425
223,niggas,284,67,5.648974238161206,4.204692619390966
1059,big,276,68,5.62040086571715,4.219507705176107
265,let,276,69,5.62040086571715,4.23410650459726
380,time,271,70,5.602118820879701,4.248495242049359
421,not,261,71,5.564520407322694,4.2626798770413155
442,love,259,72,5.556828061699537,4.276666119016055
477,life,257,73,5.54907608489522,4.290459441148391
377,'cause,256,74,5.545177444479562,4.30406509320417
135,2,252,75,5.529429087511423,4.31748811353631
264,never,252,76,5.529429087511423,4.330733340286331
620,him,251,77,5.5254529391317835,4.343805421853684
351,rock,248,78,5.5134287461649825,4.356708826689592
121,yo,247,79,5.5093883366279774,4.3694478524670215
321,make,238,80,5.472270673671475,4.382026634673881
294,nigga,236,81,5.4638318050256105,4.394449154672439
105,off,232,82,5.44673737166631,4.406719247264253
272,go,228,83,5.429345628954441,4.418840607796598
662,there,226,84,5.420534999272286,4.430816798843313
60,ca,224,85,5.4116460518550396,4.442651256490317
1866,featuring,221,86,5.3981627015177525,4.454347296253507
7,1,219,87,5.389071729816501,4.465908118654584
224,are,217,88,5.37989735354046,4.477336814478207
300,fuck,216,89,5.375278407684165,4.48863636973214
344,rap,210,90,5.3471075307174685,4.499809670330265
9449,|,208,91,5.337538079701318,4.51085950651685
137,some,208,92,5.337538079701318,4.5217885770490405
96,then,206,93,5.327876168789581,4.532599493153256
288,right,204,94,5.318119993844216,4.543294782270004
362,black,201,95,5.303304908059076,4.553876891600541
322,money,200,96,5.298317366548036,4.564348191467836
763,three,199,97,5.293304824724492,4.574710978503383
937,say,197,98,5.2832037287379885,4.584967478670572
359,way,194,99,5.267858159063328,4.59511985013459
585,here,187,100,5.231108616854587,4.605170185988092
220,3,187,101,5.231108616854587,4.61512051684126
1217,new,185,102,5.220355825078324,4.624972813284271
64,more,184,103,5.214935757608986,4.634728988229636
440,day,184,104,5.214935757608986,4.6443908991413725
360,had,183,105,5.209486152841421,4.653960350157523
407,chorus,182,106,5.204006687076795,4.663439094112067
165,about,182,107,5.204006687076795,4.672828834461906
298,notorious,182,108,5.204006687076795,4.68213122712422
423,'re,181,109,5.198497031265826,4.6913478822291435
99,take,179,110,5.187385805840755,4.700480365792417
393,g,178,111,5.181783550292085,4.709530201312334
218,'em,175,112,5.1647859739235145,4.718498871295094
492,high,174,113,5.159055299214529,4.727387818712341
66,keep,170,114,5.135798437050262,4.736198448394496
244,where,169,115,5.1298987149230735,4.74493212836325
892,have,169,116,5.1298987149230735,4.7535901911063645
205,through,169,117,5.1298987149230735,4.762173934797756
383,world,168,118,5.123963979403259,4.770684624465665
571,boy,167,119,5.117993812416755,4.77912349311153
1581,their,166,120,5.111987788356544,4.787491742782046
589,ya,165,121,5.10594547390058,4.795790545596741
217,still,165,122,5.10594547390058,4.804021044733257
75,feel,165,123,5.10594547390058,4.812184355372417
1723,bone,163,124,5.093750200806762,4.820281565605037
1045,real,163,125,5.093750200806762,4.8283137373023015
1438,them,162,126,5.087596335232384,4.836281906951478
452,could,162,127,5.087596335232384,4.844187086458591
1,"
 ",159,128,5.0689042022202315,4.852030263919617
372,hip,158,129,5.062595033026967,4.859812404361672
2350,def,157,130,5.056245805348308,4.867534450455582
643,did,156,131,5.049856007249537,4.875197323201151
529,an,154,132,5.0369526024136295,4.882801922586371
89,god,152,133,5.0238805208462765,4.890349128221754
512,two,151,134,5.017279836814924,4.897839799950911
373,hop,151,135,5.017279836814924,4.90527477843843
159,need,148,136,4.997212273764115,4.912654885736052
396,kid,148,137,4.997212273764115,4.919980925828125
329,baby,146,138,4.983606621708336,4.927253685157205
1908,5,146,139,4.983606621708336,4.9344739331306915
1713,jam,144,140,4.969813299576001,4.941642422609304
544,us,144,141,4.969813299576001,4.948759890378168
325,good,142,142,4.955827057601261,4.955827057601261
456,too,141,143,4.948759890378168,4.962844630259907
179,'ll,140,144,4.941642422609304,4.969813299576001
235,gon,139,145,4.9344739331306915,4.976733742420574
1884,dogg,138,146,4.927253685157205,4.983606621708336
1038,old,137,147,4.919980925828125,4.990432586778736
1643,around,135,148,4.90527477843843,4.997212273764115
73,y',135,149,4.90527477843843,5.003946305945459
254,put,135,150,4.90527477843843,5.0106352940962555
1367,our,135,151,4.90527477843843,5.017279836814924
299,b.i.g,135,152,4.90527477843843,5.0238805208462765
547,why,134,153,4.897839799950911,5.030437921392435
557,live,132,154,4.882801922586371,5.0369526024136295
1433,soul,131,155,4.875197323201151,5.043425116919247
1883,snoop,131,156,4.875197323201151,5.049856007249537
2568,want,130,157,4.867534450455582,5.056245805348308
132,uh,129,158,4.859812404361672,5.062595033026967
101,words,129,159,4.859812404361672,5.0689042022202315
1220,cause,129,160,4.859812404361672,5.075173815233827
1396,line,128,161,4.852030263919617,5.081404364984463
115,mind,127,162,4.844187086458591,5.087596335232384
45,oh,124,163,4.820281565605037,5.093750200806762
845,tell,124,164,4.820281565605037,5.099866427824199
336,n,123,165,4.812184355372417,5.10594547390058
1724,dj,123,166,4.812184355372417,5.111987788356544
374,would,123,167,4.812184355372417,5.117993812416755
684,another,120,168,4.787491742782046,5.123963979403259
123,hook,120,169,4.787491742782046,5.1298987149230735
426,give,119,170,4.77912349311153,5.135798437050262
1800,4,119,171,4.77912349311153,5.14166355650266
279,every,118,172,4.770684624465665,5.147494476813453
831,ice,118,173,4.770684624465665,5.153291594497779
695,stop,118,174,4.770684624465665,5.159055299214529
827,than,116,175,4.7535901911063645,5.1647859739235145
1619,beat,116,176,4.7535901911063645,5.170483995038151
902,hit,116,177,4.7535901911063645,5.176149732573829
931,over,116,178,4.7535901911063645,5.181783550292085
1443,mc,115,179,4.74493212836325,5.187385805840755
147,d,114,180,4.736198448394496,5.19295685089021
124,think,114,181,4.736198448394496,5.198497031265826
428,check,114,182,4.736198448394496,5.204006687076795
739,wanna,113,183,4.727387818712341,5.209486152841421
596,ride,113,184,4.727387818712341,5.214935757608986
580,die,112,185,4.718498871295094,5.220355825078324
976,game,112,186,4.718498871295094,5.225746673713202
131,la,112,187,4.718498871295094,5.231108616854587
83,first,110,188,4.700480365792417,5.236441962829949
728,nas,110,189,4.700480365792417,5.241747015059643
203,will,109,190,4.6913478822291435,5.247024072160486
1901,dr,108,191,4.68213122712422,5.25227342804663
732,jay,108,192,4.68213122712422,5.2574953720277815
249,better,106,193,4.663439094112067,5.262690188904886
119,these,105,194,4.653960350157523,5.267858159063328
617,ta,104,195,4.6443908991413725,5.272999558563747
473,biggie,104,196,4.6443908991413725,5.278114659230517
42,while,103,197,4.634728988229636,5.2832037287379885
1078,run,103,198,4.634728988229636,5.288267030694535
1545,n’t,103,199,4.634728988229636,5.293304824724492
